line,syllable,label
26,bi,short
26,tus,long
26,ju,short
26,bet,
27,non,
27,pa,short
27,vi,short
27,dus,short
27,hau,long
27,si,
27,dic,long
27,ta,short
27,sed,long
27,ce,
27,pi,long
27,ne,short
27,fas,
28,er,
28,go,elision
28,ut,long
28,per,short
28,om,long
28,nis,
28,li,long
28,be,short
28,ros,long
28,i,
28,rem,long
28,pa,short
28,rens,
29,co,
29,ac,long
29,ta,short
29,fa,long
29,tis,
29,gna,long
29,ta,short
29,fert,long
29,u,short
29,te,short
29,ro,long
29,gra,short
29,vi,
30,me,
30,pa,long
30,tre,short
30,dig,long
30,num,
30,ver,long
30,sa,short
30,na,long
30,tu,
30,ra,elision
30,est,long
30,re,short
30,tro,
31,a,
31,vo,long
31,pa,short
31,ren,long
31,tem,
31,pro,long
31,ne,short
31,fas,long
31,pa,
31,tri,long
31,vi,short
31,rum,
32,gna,
32,tis,long
32,ne,short
32,po,long
32,tes,
32,mis,long
32,cu,short
32,i,long
32,noc,
32,ti,long
32,di,short
32,em,
33,sed,
33,se,long
33,ra,short
33,tan,long
33,dem,
33,res,long
33,pi,short
33,cit,long
33,fes,
33,sos,long
33,ma,short
33,lis,
34,post,
34,fa,long
34,ta,short
34,de,long
34,mum,
34,sor,long
34,tis,short
34,in,long
34,cer,
34,tae,long
34,fi,short
34,des,
35,rex,
35,il,long
35,le,short
35,re,long
35,gum,
35,duc,long
35,tor,short
35,a,short
35,ga,short
35,mem,
35,non,long
35,du,short
35,cum,
36,cu,
36,jus,long
36,se,short
36,cu,long
36,tae,long
36,mil,long
36,le,short
36,ve,long
36,xil,
36,lum,long
36,ra,short
36,tes,
37,i,
37,li,short
37,a,short
37,ca,short
37,ve,long
37,lis,
37,ma,short
37,ri,short
37,a,short
37,te,long
37,xe,
37,runt,long
37,su,short
37,is,
38,post,
38,de,short
38,ci,short
38,ma,short
38,phoe,long
38,bi,
38,lus,long
38,tra,short
38,de,long
38,vic,
38,to,elision
38,i,long
38,li,short
38,o,
39,a,
39,des,long
39,tda,short
39,tu,long
39,rus,
39,con,long
39,ju,short
39,gi,long
39,ju,short
39,gu,short
39,lum,long
39,su,short
39,ae,long
40,jam,
40,jam,long
40,na,short
40,ta,long
40,bit,
40,san,long
40,gvi,short
40,ne,elision
40,al,long
40,ter,
40,no,long
40,do,short
40,mus,
41,en,
41,ses,long
41,se,short
41,cu,long
41,res,
41,te,long
41,la,short
41,di,long
41,vi,
41,sum,long
41,gra,short
41,vi,
42,ic,
42,tu,long
42,bi,short
42,pen,long
42,nis,
42,re,long
42,gi,short
42,um,long
42,vi,short
42,de,short
42,o,long
42,ca,short
42,put,
43,jam,
43,sce,short
43,le,short
43,ra,short
43,pro,short
43,pe,short
43,sunt,
43,jam,long
43,do,short
43,lus,long
43,cae,long
43,des,long
43,cru,short
43,or,
44,pa,
44,ran,long
44,tur,short
44,e,short
44,pu,short
44,lae,long
44,cau,long
44,sa,short
44,na,long
44,ta,
44,lis,long
44,tu,short
44,i,
45,ae,long
45,gis,long
45,the,short
45,ve,long
45,nit,
45,qvid,long
45,pu,short
45,dor,long
45,vul,
45,tus,long
45,gra,short
45,vat,
46,qvid,
46,dex,long
46,tra,short
46,du,short
46,bi,short
46,o,
46,tre,short
46,pi,short
46,da,short
46,con,long
46,si,short
46,li,short
46,o,long
46,la,short
46,bat,
47,qvid,
47,ip,long
47,se,short
47,te,long
47,met,
47,con,long
47,su,short
47,lis,long
47,tor,
47,qves,long
47,ro,short
47,gas,
48,an,
48,de,short
48,ce,short
48,at,short
48,hoc,long
48,te,
48,res,long
48,pi,short
48,ce,elision
48,ad,long
48,pa,
48,trem,long
48,de,short
48,cet,
49,sed,
49,cur,long
49,re,short
49,pen,long
49,te,
49,noc,long
49,tis,short
49,aes,long
49,ti,
49,vae,long
49,vi,short
49,ces,
50,hi,
50,ber,long
50,na,short
50,lon,long
50,ga,
50,spa,short
50,ti,short
50,a,short
50,pro,long
50,du,
50,cunt,long
50,mo,short
50,ra,
51,aut,long
51,qvid,long
51,ca,short
51,den,long
51,tes,
51,de,long
51,ti,short
51,net,long
51,stel,
51,las,long
51,po,short
51,lo,
52,phoe,long
52,bum,long
52,mo,short
52,ra,long
52,mur,
52,red,long
52,de,short
52,jam,long
52,mun,
52,do,long
52,di,short
52,em,
53,qvid,
53,seg,long
53,nis,short
53,a,short
53,ni,short
53,me,
53,tu,long
53,ta,short
53,con,long
53,si,short
53,li,short
53,a,elision
53,ex,long
53,pe,short
53,tis,
54,qvid,
54,fluc,long
54,tu,short
54,a,long
54,ris,
54,clau,long
54,sa,short
54,jam,long
54,me,short
54,li,short
54,or,long
54,vi,short
54,a,elision
54,est,
55,li,short
55,cu,short
55,it,long
55,pu,short
55,di,long
55,cos,
55,con,long
55,ju,short
55,gis,long
55,qvon,
55,dam,long
55,to,short
55,ros,
56,et,
56,scep,long
56,tra,short
56,cas,long
56,ta,
56,vi,short
56,du,short
56,a,short
56,tu,long
56,ta,
56,ri,long
56,fi,short
56,de,
57,pe,short
57,ri,short
57,e,long
57,re,short
57,mo,long
57,res,
57,jus,long
57,de,short
57,cus,long
57,pi,short
57,e,short
57,tas,long
57,fi,short
57,des,
58,et,
58,qvi,long
58,re,short
58,di,long
58,re,
58,cum,long
58,pe,short
58,rit,long
58,nes,
58,cit,long
58,pu,short
58,dor,
59,da,
59,fre,long
59,na,elision
59,et,short
59,om,long
59,nem,
59,pro,long
59,na,short
59,neq,long
59,vi,short
59,ti,short
59,am,elision
59,in,long
59,ci,short
59,ta,
60,per,
60,sce,short
60,le,short
60,ra,short
60,sem,long
60,per,
60,sce,short
60,le,short
60,ri,short
60,bus,long
60,tu,
60,tum,elision
60,est,long
60,i,short
60,ter,
61,te,
61,cum,elision
61,ip,long
61,sa,short
61,nunc,long
61,e,
61,vol,long
61,ve,short
61,fe,long
61,mi,short
61,ne,short
61,os,long
61,do,short
61,los,
62,qvod,
62,ul,long
62,la,short
62,con,long
62,junx,
62,per,long
62,fi,short
62,da,elision
62,at,long
62,qve,elision
62,im,
62,pos,long
62,su,short
62,i,
63,a,
63,mo,long
63,re,short
63,cae,long
63,co,
63,qvod,long
63,no,short
63,ver,long
63,ca,
63,les,long
63,ma,short
63,nus,
64,au,long
64,sae,long
64,qvod,short
64,ar,long
64,dens,
64,im,long
64,pi,short
64,a,long
64,vir,
64,go,long
64,fa,short
64,ce,
65,fer,
65,rum,long
65,ve,short
65,ne,long
65,na,
65,vel,long
65,my,short
65,ce,long
65,nae,long
65,as,long
65,do,short
65,mos,
66,con,
66,jun,long
66,cta,short
66,so,short
66,ci,short
66,o,
66,pro,short
66,fu,short
66,ge,short
66,fur,long
66,ti,
66,va,long
66,ra,short
66,te,
67,qvid,
67,ti,short
67,mi,short
67,da,short
67,loq,short
67,ve,short
67,ris,
67,fur,long
67,ta,elision
67,et,short
67,ex,long
67,i,short
67,li,short
67,um,elision
67,et,long
67,fu,short
67,gas,
68,so,short
68,ror,short
68,is,long
68,ta,short
68,fe,long
68,cit,
68,te,long
68,de,short
68,cet,long
68,ma,
68,jus,long
68,ne,short
68,fas,
69,re,
69,gi,long
69,na,short
69,da,short
69,naum,short
69,et,
69,in,long
69,cli,short
69,tum,long
69,le,
69,dae,long
69,ge,short
69,nus,
70,qvid,
70,ta,short
70,ci,short
70,ta,short
70,ver,long
70,sas,
70,qvi,long
70,du,short
70,con,long
70,si,short
70,li,short
70,i,elision
70,im,long
70,po,short
70,tens,
71,li,short
71,cet,short
71,ip,long
71,sa,short
71,si,short
71,le,short
71,as,
71,to,long
71,tus,short
71,in,long
71,vul,
71,tu,elision
71,est,long
71,do,short
71,lor,
72,ma,
72,jo,long
72,ra,short
72,cru,short
72,ci,short
72,ant,
72,qvam,elision
72,ut,long
72,mo,short
72,ras,long
72,pos,
72,sim,long
72,pa,short
72,ti,
73,flam,
73,mae,long
73,me,short
73,dul,long
73,las,
73,et,long
73,cor,short
73,ex,long
73,u,
73,runt,long
73,meum,short
74,mix,
74,tus,long
74,do,short
74,lo,long
74,ri,
74,sub,long
74,di,short
74,dit,long
74,sti,short
74,mu,short
74,los,long
74,ti,short
74,mor,
75,in,
75,vi,short
75,di,short
75,a,short
75,pul,long
75,sat,
75,pec,long
75,tus,short
75,hinc,long
75,a,short
75,ni,short
75,mum,long
75,ju,short
75,go,
76,pre,
76,mit,long
76,cu,short
76,pi,long
76,do,
76,tur,long
76,pis,short
76,et,long
76,vin,
76,ci,long
76,ve,short
76,tat,
77,et,
77,in,long
77,ter,short
77,is,long
77,tas,
77,men,long
77,tis,short
77,ob,long
77,ses,
77,sae,long
77,fa,short
77,ces,
78,fes,
78,sus,long
78,qvi,short
78,dem,elision
78,et,long
78,de,
78,jec,long
78,tus,short
78,et,long
78,pes,
78,sum,long
78,da,short
78,tus,
79,ut,
79,cum,elision
79,hinc,long
79,pro,short
79,fun,long
79,dum,
79,ven,long
79,tus,short
79,hinc,long
79,aes,long
79,tus,long
79,ra,short
79,pit,
80,pro,
80,in,long
80,de,elision
80,o,short
80,mi,long
80,si,
80,re,short
80,gi,short
80,men,short
80,e,long
80,ma,short
80,ni,short
80,bus,long
80,meis,short
81,qvo,
81,cum,long
81,qve,short
81,me,elision
81,i,long
81,ra,
81,qvo,long
81,do,short
81,lor,long
81,qvo,
81,spes,long
81,fe,short
81,ret,
82,hoc,
82,i,long
82,re,short
82,per,long
82,gam,
82,fluc,long
82,ti,short
82,bus,long
82,de,short
82,di,short
82,mus,long
82,ra,short
82,tem,
83,u,
83,bi,elision
83,a,short
83,ni,short
83,mus,short
83,er,long
83,rat,
83,op,long
83,ti,short
83,mum,elision
83,est,long
83,ca,
83,sum,long
83,seq,short
83,vi,
84,cae,long
84,ca,elision
84,est,long
84,te,short
84,me,short
84,ri,short
84,tas,
84,qvae,long
84,pe,short
84,tit,long
84,ca,
84,sum,long
84,du,short
84,cem,
85,cui,
85,ul,long
85,ti,short
85,ma,elision
85,est,long
85,for,
85,tu,long
85,na,short
85,qvid,long
85,du,short
85,bi,short
85,am,long
85,ti,short
85,met,
86,tu,
86,ta,elision
86,est,long
86,la,short
86,tet,long
86,qve,
86,cul,long
86,pa,short
86,si,long
86,pa,short
86,te,short
86,ris,long
86,tu,short
86,a,
87,per,
87,lu,long
87,cet,short
87,om,long
87,ne,
87,re,long
87,gi,short
87,ae,long
87,vi,short
87,ti,short
87,um,long
87,do,short
87,mus,
88,pi,
88,get,long
88,pri,short
88,o,long
88,ris,
88,et,long
88,no,short
88,vum,long
88,cri,
88,men,long
88,stru,short
88,is,
89,res,
89,est,long
89,pro,short
89,fec,long
89,to,
89,stul,long
89,ta,short
89,neq,long
89,vi,short
89,ti,short
89,ae,long
89,mo,short
89,dus,
90,et,
90,fer,long
90,rum,elision
90,et,short
90,ig,long
90,nis,
90,sae,long
90,pe,short
90,me,short
90,di,short
90,ci,
90,nae,long
90,lo,short
90,co,elision
90,est,
91,ex,
91,tre,long
91,ma,short
91,pri,long
91,mo,
91,ne,long
91,mo,short
91,tem,long
91,pta,
91,vit,long
91,lo,short
91,co,
92,ra,short
92,pi,short
92,en,long
92,da,short
92,re,long
92,bus,
92,in,long
92,ma,short
92,lis,long
92,prae,long
92,ceps,long
92,vi,short
92,a,elision
92,est,
93,at,
93,te,long
93,re,short
93,flec,long
93,tat,
93,con,long
93,ju,short
93,gi,long
93,no,
93,men,long
93,sa,short
93,crum,
94,de,
94,cem,long
94,per,short
94,an,long
94,nos,
94,vi,short
94,du,short
94,a,short
94,res,long
94,pi,short
94,ci,short
94,am,long
94,vi,short
94,rum,
95,me,short
95,mi,short
95,nis,long
95,se,short
95,de,long
95,bes,
95,so,short
95,bo,short
95,lis,short
95,ex,long
95,il,
95,lo,long
95,tu,short
95,ae,long
96,eq,short
96,vi,short
96,dem,elision
96,et,long
96,ju,short
96,ga,long
96,les,
96,fi,long
96,li,short
96,ae,long
96,me,short
96,mi,short
96,ni,long
96,fa,short
96,ces,
97,et,
97,ge,short
97,ne,short
97,rum,elision
97,ac,short
97,hil,long
97,lem,
97,praes,long
97,ti,short
97,tit,long
97,ma,
97,tri,long
97,fi,short
97,dem,
98,re,
98,de,long
98,mit,short
98,il,long
98,la,
98,clas,long
98,sis,short
98,im,long
98,mo,
98,tae,long
98,mo,short
98,ras,
99,et,
99,ma,short
99,ri,short
99,a,short
99,pi,long
99,gro,
99,fi,long
99,xa,short
99,lan,long
99,gvo,
99,re,elision
99,im,long
99,pu,short
99,lit,
100,pu,
100,det,long
100,do,short
100,let,long
100,qve,
100,tyn,long
100,da,short
100,ris,long
100,cae,long
100,li,long
100,ge,short
100,nus,
101,lus,
101,tra,long
101,le,short
101,clas,long
101,si,
101,do,long
101,ri,short
101,cae,long
101,pe,short
101,pe,short
101,ri,long
101,ca,short
101,put,
102,re,
102,vol,long
102,vit,short
102,a,short
102,ni,short
102,mus,
102,vir,long
102,gi,short
102,nis,long
102,tha,short
102,la,short
102,mos,long
102,me,short
102,ae,long
103,qvos,
103,il,long
103,le,short
103,dig,long
103,nos,
103,pe,short
103,lo,short
103,pi,short
103,a,long
103,fe,
103,cit,long
103,do,short
103,mo,
104,cum,
104,ste,short
104,tit,short
104,ad,short
104,a,long
104,ras,
104,o,long
104,re,short
104,sa,short
104,cri,short
104,fi,
104,co,long
104,pa,short
104,ter,
105,qvam,
105,nup,long
105,ti,short
105,a,long
105,lis,
105,hor,long
105,ru,short
105,it,long
105,cal,
105,chas,long
105,su,short
105,ae,long
106,res,
106,pon,long
106,sa,short
106,vo,long
106,cis,
106,et,long
106,re,short
106,ce,long
106,den,
106,tes,long
106,fo,short
106,cos,
107,o,
107,sce,short
107,le,short
107,ra,short
107,sem,long
107,per,
107,sce,short
107,le,short
107,ri,short
107,bus,long
107,vin,
107,cens,long
107,do,short
107,mus,
108,cru,
108,o,long
108,re,short
108,ven,long
108,tos,
108,e,long
108,mi,short
108,mus,long
108,bel,
108,lum,long
108,ne,short
108,ce,
109,sed,
109,ve,long
109,la,short
109,pa,short
109,ri,short
109,ter,
109,mil,long
109,le,short
109,fe,long
109,ce,
109,runt,long
109,ra,short
109,tes,
110,non,
110,est,long
110,so,short
110,lu,long
110,ta,
110,pros,long
110,pe,short
110,ro,long
110,clas,
110,sis,long
110,de,short
110,o,
111,sic,
111,aus,long
111,pi,short
111,ca,long
111,tus,
111,bel,long
111,la,short
111,non,long
111,me,short
111,li,short
111,us,long
111,ge,short
111,rit,
112,a,
112,mo,long
112,re,short
112,cap,long
112,tae,long
112,cap,long
112,tus,short
112,im,long
112,mo,
112,tus,long
112,pre,short
112,ce,
113,ar,
113,do,long
113,re,short
113,sa,long
113,crae,long
113,vir,long
113,gi,short
113,nis,long
113,jam,
113,tum,long
113,fu,short
113,rens,
114,non,
114,il,long
114,lum,elision
114,ac,short
114,hil,long
114,les,
114,fle,long
114,xit,short
114,in,long
114,do,short
114,mi,short
114,tus,long
114,mi,short
114,nis,
115,non,
115,il,long
115,le,short
115,so,long
115,lus,
115,fa,long
115,ta,short
115,qvi,long
115,mun,
115,di,long
115,vi,short
115,det,
116,in,
116,nos,long
116,fi,short
116,de,long
116,lis,
116,au,long
116,gur,short
116,in,long
116,cap,
116,tas,long
116,le,short
116,vis,
117,non,
117,po,short
117,pu,short
117,lus,short
117,ae,long
117,ger,
117,et,long
117,re,short
117,lu,long
117,cen,
117,tes,long
117,ro,short
117,gi,
118,in,
118,ter,long
118,ru,short
118,en,long
118,tis,
118,grae,long
118,ci,short
118,ae,long
118,stra,
118,gem,elision
118,ul,long
118,ti,short
118,mam,
119,si,
119,ne,elision
119,hos,long
119,te,short
119,vic,long
119,tus,
119,mar,long
119,cet,short
119,ac,long
119,ve,short
119,ne,short
119,ri,long
119,va,short
119,cat,
120,re,short
120,pa,short
120,rat,long
120,qve,elision
120,a,short
120,mo,long
120,res,
120,ne,long
120,ve,short
120,de,long
120,ser,
120,tus,long
120,fo,short
120,ret,
121,a,
121,pae,long
121,li,short
121,ce,elision
121,um,long
121,qvam,
121,bar,long
121,ba,short
121,ra,long
121,cae,long
121,lebs,long
121,to,short
121,rus,
122,a,
122,bla,long
122,tam,elision
122,ac,short
122,hil,long
122,li,
122,di,long
122,li,short
122,git,long
122,lyr,
122,ne,long
122,si,short
122,da,
123,en,
123,pa,short
123,ri,short
123,dis,short
123,hos,long
123,tem,
123,nunc,long
123,no,short
123,vum,long
123,vul,
123,nus,long
123,ge,short
123,rens,
124,a,
124,mo,long
124,re,short
124,ph,short
124,ry,short
124,gi,long
124,va,long
124,tis,short
124,in,long
124,cen,
124,sus,long
124,fu,short
124,rit,
125,et,
125,post,long
125,tro,short
125,pae,long
125,a,
125,tro,long
125,i,short
125,ca,elision
125,ac,long
125,ver,
125,sum,elision
125,i,long
125,li,short
125,um,
126,cap,
126,tae,long
126,ma,short
126,ri,long
126,tus,
126,re,short
126,me,short
126,at,short
126,et,long
126,pri,short
126,a,short
126,mi,long
126,ge,short
126,ner,
127,ac,
127,cin,long
127,ge,short
127,re,elision
127,a,short
127,ni,short
127,me,
127,bel,long
127,la,short
127,non,long
127,le,short
127,vi,short
127,a,elision
127,ap,long
127,pa,short
127,ras,
128,sce,short
128,lus,short
128,oc,long
128,cu,short
128,pan,long
128,dum,elision
128,est,
128,pi,long
128,gra,short
128,qvem,elision
128,ex,long
128,pec,
128,tas,long
128,di,short
128,em,
129,an,
129,te,long
129,mo,short
129,ran,long
129,tur,
129,vir,long
129,gi,short
129,nes,long
129,vi,short
129,du,short
129,ae,long
129,do,short
129,mi,
130,pa,
130,triq,long
130,ve,elision
130,o,short
130,res,long
130,tes,
130,si,short
130,mi,short
130,lis,short
130,ho,long
130,rum,
130,te,long
130,ma,short
130,la,
131,ven,
131,tu,long
131,ra,short
131,mo,short
131,ve,short
131,ant,
131,tur,long
131,bo,short
131,qvis,long
131,re,
131,rum,elision
131,im,long
131,mi,short
131,net,
132,qvid,
132,mi,short
132,se,short
132,ra,short
132,ces,long
132,sas,
132,en,long
132,a,short
132,dest,long
132,gna,
132,tis,long
132,tu,short
132,is,
133,fu,
133,rens,long
133,no,short
133,ver,long
133,ca,
133,per,long
133,tu,short
133,um,long
133,si,elision
133,a,short
133,li,short
133,ter,long
133,neq,short
133,vit,
134,la,short
134,tus,short
134,ex,long
134,i,short
134,ga,long
134,tur,
134,en,long
134,sis,short
134,et,long
134,pe,short
134,ri,short
134,mat,long
134,du,short
134,os,
135,mis,
135,ce,long
135,cru,short
135,o,long
135,rem,
135,per,long
135,de,short
135,pe,short
135,reun,short
135,do,
135,vi,short
135,rum,
136,mors,
136,mi,short
136,se,short
136,ra,short
136,non,long
136,est,
136,com,long
136,mo,short
136,ri,long
136,cum,
136,qvo,long
136,ve,short
136,lis,
137,re,
137,gi,long
137,na,short
137,fre,long
137,na,
137,te,long
137,met,short
137,et,long
137,sis,
137,te,elision
137,im,long
137,pe,short
137,tus,
138,et,
138,qvan,long
138,ta,short
138,tem,long
138,ptes,
138,co,long
138,gi,short
138,ta,long
138,vic,
138,tor,long
138,ve,short
138,nit,
139,a,short
139,si,short
139,ae,long
139,fe,short
139,ro,long
139,cis,
139,ul,long
139,tor,short
139,eu,short
139,ro,short
139,pae,
139,tra,short
139,hit,
140,cap,
140,ti,long
140,va,short
140,per,long
140,ga,
140,ma,elision
140,et,long
140,di,short
140,u,long
140,vic,
140,tos,long
140,ph,short
140,ry,
141,hunc,
141,frau,long
141,de,short
141,nunc,long
141,co,
141,na,long
141,ris,short
141,et,long
141,fur,
141,to,elision
141,ag,long
141,gre,short
141,di,
142,qvem,
142,non,long
142,ac,short
142,hil,long
142,les,
142,en,long
142,se,short
142,vi,short
142,o,short
142,la,
142,vit,long
142,fe,short
142,ro,
143,qvam,
143,vis,long
143,pro,short
143,ca,long
143,cem,
143,tor,long
143,vus,short
143,ar,long
143,mas,
143,set,long
143,ma,short
143,num,
144,non,
144,me,short
144,li,short
144,or,short
144,a,long
144,jax,
144,mor,long
144,te,short
144,de,long
144,cre,
144,ta,long
144,fu,short
144,rens,
145,non,
145,so,long
145,la,short
145,da,short
145,na,short
145,is,
145,hec,long
145,tor,short
145,et,long
145,bel,
145,lo,long
145,mo,short
145,ra,
146,non,
146,te,long
146,la,short
146,pa,short
146,ri,short
146,dis,
146,cer,long
146,ta,short
146,non,long
146,mem,
146,non,long
146,ni,short
146,ger,
147,non,
147,xan,long
147,thus,short
147,ar,long
147,mis,
147,cor,long
147,po,short
147,ra,elision
147,im,long
147,mix,
147,ta,elision
147,ag,long
147,ge,short
147,rens,
148,fluc,
148,tus,long
148,qve,short
148,si,short
148,mo,short
148,is,
148,cae,long
148,de,short
148,pur,long
148,pu,short
148,re,short
148,os,long
148,a,short
148,gens,
149,non,
149,ni,short
149,ve,short
149,a,short
149,pro,long
149,les,
149,cyc,long
149,nus,short
149,aeq,long
149,vo,short
149,rei,short
149,dei,short
150,non,
150,bel,long
150,li,short
150,co,long
150,so,
150,th,long
150,res,short
150,cum,long
150,rhe,
150,so,long
150,pha,short
150,lanx,
151,pel,
151,ta,long
151,ta,elision
151,a,short
151,ma,long
151,zon,
151,hunc,long
151,do,short
151,mi,long
151,re,short
151,du,short
151,cem,long
151,pa,short
151,ras,
152,mac,
152,ta,long
152,re,elision
152,et,short
152,a,long
152,ras,
152,cae,long
152,de,short
152,ma,short
152,cu,short
152,la,
152,re,elision
152,im,long
152,pi,short
152,a,
153,ul,
153,trix,long
153,in,short
153,ul,long
153,tum,
153,grae,long
153,ci,short
153,a,elision
153,hoc,long
153,fa,short
153,ci,short
153,nus,long
153,fe,short
153,ret,
154,eq,
154,vos,long
154,et,short
154,ar,long
154,ma,
154,clas,long
154,si,short
154,bus,long
154,qve,elision
154,hor,
154,rens,long
154,fre,short
154,tum,
155,pro,
155,po,long
155,ne,elision
155,et,short
155,al,long
155,to,
155,san,long
155,gvi,short
155,ne,elision
155,ex,long
155,un,
155,dans,long
155,so,short
155,lum,
156,et,
156,to,long
156,ta,short
156,cap,long
156,tae,long
156,fa,long
156,ta,short
156,dar,long
156,da,short
156,ni,short
156,ae,long
156,do,short
156,mus,
157,re,
157,ges,long
157,ta,short
157,da,short
157,na,short
157,is,
157,com,long
157,pri,short
157,me,elision
157,ad,long
157,fec,
157,tus,long
157,tru,short
157,ces,
158,qvod,
158,tem,long
158,pus,short
158,a,short
158,ni,short
158,mo,
158,sem,long
158,per,short
158,ac,long
158,men,
158,te,elision
158,hor,long
158,ru,short
158,i,
159,a,
159,dest,long
159,pro,short
159,fec,long
159,to,
159,re,long
159,bus,short
159,ex,long
159,tre,
159,mum,long
159,meis,short
160,qvid,
160,ter,long
160,ga,short
160,ver,long
160,tis,
160,a,short
160,ni,short
160,me,short
160,qvid,long
160,pri,
160,mo,elision
160,im,long
160,pe,short
160,tu,
161,de,
161,po,long
161,nis,short
161,ar,long
161,ma,
161,cre,long
161,de,short
161,per,long
161,ni,short
161,ci,short
161,em,long
161,ti,short
161,bi,
162,et,
162,di,long
162,ra,short
162,sae,long
162,vos,
162,fa,long
162,ta,short
162,mo,long
162,li,
162,ri,long
162,de,short
162,os,
163,op,
163,po,long
163,ne,short
163,cun,long
163,ctis,
163,vi,long
163,le,short
163,sup,long
163,pli,short
163,ci,short
163,is,long
163,ca,short
163,put,
164,fer,
164,rum,long
164,qve,elision
164,et,short
164,ig,long
164,nes,
164,pec,long
164,to,short
164,re,elision
164,ad,long
164,ver,
164,so,elision
164,ex,long
164,ci,short
164,pe,
165,ae,long
